station_id,station_name,latitude,longitude,2010_1,2010_2,2010_3,2010_4,2011_1,2011_2,2011_3,2011_4,2012_1,2012_2,2012_3,2012_4,2013_1,2013_2,2013_3,2013_4,2014_1,2014_2,2014_3,2014_4,2015_1,2015_2,2015_3,2015_4,2016_1,2016_2,2016_3,2016_4,2017_1,2017_2,2017_3,2017_4,2018_1,2018_2,2018_3,2018_4,2019_1,2019_2,2019_3,2019_4,2020_1,2020_2,2020_3,2020_4,2021_1,2021_2,2021_3,2021_4,2022_1,2022_2,2022_3,2022_4
254315075211501,AMARWASI,25.72083333,75.35416667,5.87,8.05,2.35,3.19,3.41,4.59,1.85,2.22,2.17,2.89,,1.59,1.78,3.38,0.77,0.93,1.24,3.4,0.94,1.19,1.09,1.76,1.69,1.29,,3.97,3.81,3.61,0.99,2.14,0.49,0.93,1.01,3.19,,,,,,,,,,,,,,,,,,
252915074420001,BANERAMATAJI,25.4875,74.7,16.72,,17.17,16.53,14.93,18.68,11.04,10.5,12.0,17.24,,8.85,9.38,17.6,16.34,16.21,,18.3,9.05,11.3,15.85,16.97,14.66,15.3,,17.5,16.45,15.87,14.8,13.4,4.48,11.8,13.25,14.8,,,,,,,,,,,,,,,,,,
254530074280001,BARASNI,25.75833333,74.46666667,11.04,16.9,15.48,12.48,13.0,12.04,,9.4,8.66,13.4,,7.46,0.4,16.43,13.21,12.76,6.9,15.68,4.36,3.38,5.98,18.68,11.72,14.38,,16.68,16.53,15.38,14.58,18.53,7.78,8.0,9.32,10.79,9.73,,6.88,13.68,11.43,1.43,1.38,,2.22,4.18,7.43,,7.58,8.83,8.98,10.78,9.38,7.28
251440075023001,BIGOD,25.24444444,75.04166667,10.27,12.4,2.32,2.15,4.55,8.05,2.1,6.92,2.67,10.0,,6.38,6.71,10.0,4.7,4.2,4.9,10.2,3.15,7.0,2.55,9.26,3.6,4.6,,4.17,3.86,3.62,3.3,10.1,4.6,4.7,,7.77,,,,,,,,,,,,,,,,,,
251012075192201,BIJOLIA,25.17,75.32277778,7.43,9.68,1.09,0.98,13.75,19.33,13.07,11.68,11.53,7.13,,3.86,6.08,7.06,5.9,3.33,5.39,8.13,1.98,3.65,4.13,5.27,3.53,4.68,,8.65,8.54,6.88,4.03,5.33,2.43,2.37,2.68,5.63,2.53,,5.13,6.33,5.53,3.06,3.75,,1.06,4.18,3.83,,5.33,2.96,3.28,5.95,1.03,2.53
254100075200001,BORANI,25.68333333,75.33333333,15.12,17.22,12.99,12.79,10.01,11.31,9.33,7.22,6.61,16.54,,11.79,,17.34,7.82,2.87,8.79,17.49,3.89,12.99,16.39,13.07,9.44,6.61,,16.79,18.85,16.94,16.49,10.69,5.24,5.16,5.82,16.89,10.89,,17.19,18.59,16.74,12.49,11.84,,1.77,14.99,7.34,,16.99,13.49,13.59,14.29,13.19,
251700074093001,DEVARIA,25.28333333,74.15833333,20.96,22.82,13.7,11.7,8.94,9.7,9.3,,10.1,25.0,,10.63,13.06,16.6,11.88,11.8,7.37,9.5,16.14,15.85,17.05,15.5,15.5,23.95,,26.98,26.69,23.95,7.4,19.1,24.2,24.4,23.95,25.2,12.45,,21.3,23.85,19.75,7.85,9.8,,17.9,,,,21.0,24.53,25.4,,14.3,2.0
255200074330001,GAGEDA,25.86666667,74.55,14.92,16.34,7.7,6.29,6.86,10.88,,8.77,3.71,11.39,,4.52,3.81,10.14,7.52,3.78,7.48,,5.54,4.06,7.34,7.57,7.57,10.34,,,6.06,5.0,8.59,11.41,4.39,4.31,4.61,5.99,7.24,,13.67,19.49,18.24,2.89,3.63,,5.79,5.39,10.19,,,13.29,13.54,13.59,12.64,10.39
251300074153501,GANGAPUR1,25.21666667,74.25972222,23.4,27.88,16.55,11.06,11.11,17.88,,11.48,11.08,20.68,,7.28,10.69,18.44,16.78,15.36,9.58,14.58,7.48,5.38,7.6,15.88,,13.83,,18.64,18.66,17.31,5.48,10.23,5.88,5.81,6.28,15.38,4.98,,6.68,12.18,9.73,3.38,4.36,,4.82,5.73,6.78,,9.38,8.6,9.63,16.68,6.78,7.78
253820075065501,GULABPURA1,25.63888889,75.11527778,20.54,21.85,10.5,9.8,11.88,11.48,7.96,8.87,10.1,4.7,,7.82,8.06,10.8,4.23,4.22,7.4,8.3,7.4,9.0,9.1,8.8,3.48,7.9,,7.82,7.72,4.92,7.2,7.9,9.95,10.0,11.7,11.6,7.1,,5.7,,5.8,1.15,3.5,,0.1,1.4,1.1,,0.4,0.5,0.7,1.5,1.4,0.5
