district,data_points,area,density
Changlang,4,5036146075.920222,0.0009928226712697928
Lohit,1,3440261012.9010696,0.0005813512383217283
East Siang,2,3616882686.8495355,0.00082944354565537
Tirap,3,1092784168.0282679,0.0036603751381366362
Krishna,73,8616094760.746513,0.008588577778546684
Prakasam,58,17795621835.285805,0.003315422217110315
Cuddapah,50,,
Anantapur,308,19226523307.97994,0.01607154840478882
Kurnool,59,17778399383.552795,0.003374881996154692
Kadapa,25,,
Nellore,40,13017831864.31361,0.003149526006123586
Vizianagaram,13,5726036800.091845,0.002444972061614316
East Godavari,96,10754821184.128002,0.009019210858024575
Chittoor,67,15168788300.78281,0.00448288938124944
Srikakulam,22,6276351121.912408,0.0036645496010732884
West Godavari,59,7757036682.188472,0.0077349125005133235
Visakhapatnam,15,11371900258.546637,0.00140697681444885
Guntur,101,11410930587.386614,0.008938797692166186
Nizamabad,61,7907896001.008079,0.007840264969607137
Yadadri,12,,
Vikarabad,12,,
Rajanna Sircilla,7,,
Hyderabad,34,178018182.24674368,0.196609130361122
Jogulamba(Gadwal),8,,
Ranga Reddy,116,7548343963.445059,0.015500088571295216
Siddipet,24,,
Medchal,6,,
Hanamkonda,7,,
Bhadradri,7,,
Suryapet,9,,
Jayashankar Bhupalapally,4,,
Medak,82,9757292596.018623,0.008506458034667055
Warangal Rural,73,,
Nagarkurnool,27,,
Karimnagar,79,11900273952.899984,0.0067225343144730505
Peddapally,8,,
Adilabad,59,16043855678.311255,0.003739749422023939
Kumuram Bheem,1,,
Mahbubnagar,98,18373310451.097668,0.005388250542192601
Warangal Urban,6,,
Wanaparthy,13,,
Nirmal,5,,
Mulugu,5,,
Khammam,53,16100103892.331993,0.003354015623819584
Sanga Reddy,34,,
Jagityal,9,,
Mahabubabad,3,,
Mancherial,5,,
Nalgonda,132,14094105205.653067,0.009436569264904767
Narayanpet,1,,
Kamareddy,3,,
Jangaon,15,,
Morena,14,4984791217.101895,0.0030091531112753085
Harda,13,3314531035.573699,0.004223825286214825
Chhindwara,46,11804870419.528679,0.003981407531780135
Ujjain,49,6082161739.578111,0.00822076132481611
Gwalior,20,4580672967.1741495,0.004584479213095855
Sehore,27,6563049684.853125,0.004266309314192951
Raisen,31,8495181263.3116455,0.0037668413431269808
Tikamgarh,27,5066392561.980186,0.005526614777173183
Neemuch,37,4154299159.087331,0.00914715058901736
Balaghat,45,9248940275.745457,0.0049735427658270225
Agar Malwa,16,2767717804.6473355,0.006142244693969497
Jabalpur,39,4011666233.1874804,0.009970919232784202
Hoshangabad,19,6708651535.490643,0.0029812250486099044
Bhopal,30,2721793443.808754,0.011389549074899677
Seoni,47,8756734677.250132,0.0054814953026615385
Umaria,17,3725913677.570635,0.004831029797699536
Barwani,11,5424414801.932307,0.002212220200366187
West Nimar,27,8043953597.471505,0.0034808753756114873
Dewas,43,6956919851.822658,0.006324638049189592
Shivpuri,36,10466266076.31347,0.0035351671484576378
Ratlam,49,4816179411.356058,0.010381673050240844
Shahdol,31,8318266790.778099,0.003846955237775764
Dindori,16,6488625489.326026,0.0026199693645388355
Betul,32,10068325966.125744,0.0032776054441449793
Mandla,34,6772239316.619623,0.005168157586236973
Damoh,27,7353395118.613934,0.0038077649233239914
Sidhi,35,4780166248.409766,0.0075311188208101
Chhatarpur,39,8713047493.319075,0.004590816247779081
Indore,46,3908679912.6507144,0.012024520055449215
Alirajpur,14,3331001748.8282127,0.0045031498423189755
Vidisha,34,7302908846.311503,0.0047926108262569276
Rajgarh,33,6120191420.989721,0.0055553817946599
Rewa,38,6314236703.955339,0.006176518529241986
Guna,26,6297042628.55153,0.004287727047865109
Singrauli,24,5786415116.03155,0.00432046431144151
East Nimar,30,7444945225.109463,0.00416389900297006
Jhabua,14,3426931673.8806567,0.004377093396500083
Mandsaur,48,5631148977.8554325,0.008701598944139669
Anuppur,26,2025870797.0120065,0.013327602154995663
Bhind,15,4472582807.152856,0.003577351317992754
Shajapur,19,3524085235.921734,0.00567523163064725
Ashok Nagar,23,,
Dhar,31,8134430109.684371,0.003933895745431839
Burhanpur,17,3196786351.8093967,0.0056306546697472955
Sagar,51,10252331940.031048,0.005072016815702372
Narsimhapur,19,5144595742.98364,0.0038875746509872276
Katni,19,6163540951.353879,0.0032448879885525568
Datia,12,2522489809.3801055,0.005153638263139192
Panna,30,7113601253.873645,0.004357848984453443
Satna,53,7502624712.4429455,0.007197481157553054
Sheopur,21,6524584468.01713,0.003371862240092351
Nuh,23,,
Kurukshetra,90,1835965096.4678876,0.04956521241883623
Panchkula,34,737825744.73904,0.047436674918925566
Sirsa,50,4231180904.711395,0.012053372604137962
Charkhi Dadri,12,,
Bhiwani,41,4635293732.112594,0.009060914459213348
Jind,56,2733142159.393108,0.02085511717863106
Fatehabad,32,2399766239.2171874,0.013751339384941394
Karnal,87,2584624789.234939,0.03404749515926774
Ambala,51,1752967975.1115203,0.029663976032814784
Yamunanagar,39,1305197950.1285467,0.0306466923243792
Mahendragarh,20,1936669338.0109854,0.010843358537171657
Sonipat,67,2213384966.3712773,0.030722174873845938
Panipat,35,1224696097.1967463,0.029395047540693383
Hisar,55,4169414592.266558,0.013431142132967288
Kaithal,48,2300478695.37292,0.021299914708428472
Rewari,28,1253211964.1449845,0.023140538735428942
Faridabad,13,1257601021.975675,0.011132306475074408
Gurgaon,33,1285367912.1463234,0.02645157054156298
Palwal,31,904509292.4886863,0.03537829878115958
Rohtak,33,1685493978.99939,0.02017212782936456
Jhajjar,25,2112230521.8020108,0.012309262522074805
Junagadh,55,7028406273.011038,0.00796766689698048
Vadodara,51,4052467492.166298,0.012831688372706165
Dohad,22,,
Bharuch,35,5434544916.376055,0.006624289715873038
Mahesana,43,4388293640.31366,0.010026676336284332
Amreli,50,7355123901.061541,0.006933941655644895
Anand,28,2878327518.144712,0.010075295398868499
Surat,43,4397938848.752791,0.01000468663007398
Navsari,25,2183363737.950656,0.011908231115170972
Sabarkantha,50,,
Porbandar,26,2310588356.0411525,0.011685335438225987
Banaskantha,39,,
Kheda,27,3983039698.1742864,0.007029806911749942
Valsad,15,3013958462.707477,0.00530863321375272
Jamnagar,50,6705065240.68269,0.007606189972702985
Rajkot,51,7606297631.512977,0.0068364403444539715
Daman,9,58311516.8369872,0.17149270920109155
Narmada,22,2568392958.503641,0.008955015985326449
Panchmahals,27,,
Kachchh,53,42208858511.47585,0.0012793522948581597
Gandhinagar,25,1723422669.4648213,0.015086258560167277
Patan,17,6012479736.896024,0.002993773083265741
Dang,24,,
Diu,3,25228234.53233657,0.15855251364787162
Ahmedabad,26,,
Surendranagar,44,9202602556.138468,0.0048899210549936635
Bhavnagar,43,6774365044.084405,0.006495073665748531
Una,32,1537603198.0762765,0.021461974091421573
Kangra,26,5706496281.918548,0.004731449678772504
Mandi,8,3948139811.427849,0.0022795545319721443
Sirmaur,11,2808654875.632473,0.004272507848547164
Solan,13,1955946221.6887295,0.007157661005583603
Hamirpur,4,,
Kullu,3,5501935782.410319,0.0007270168461049643
South West,21,,
New Delhi,11,,
East,7,,
South,13,,
North West,33,,
North East,1,,
West,7,,
South Goa,38,1989676987.630159,0.01960117156828137
North Goa,37,1706048106.3654113,0.022273697827287962
Mohali,23,,
Jalandhar,70,2602765775.501875,0.027278674350291666
Ropar,18,,
Hoshiarpur,54,3360228838.761319,0.016367932851940714
Kapurthala,46,1657893416.0561335,0.028349228934032186
Moga,30,2302468967.1686,0.013463807956604698
Tarn Taran ,49,,
Mansa,28,2207014010.8371315,0.013139925645057483
Sangrur,39,3603234504.641992,0.01110113703353712
Gurdaspur,64,2578231148.954553,0.02521108319801227
Ludhiana,79,3569662322.9444485,0.02241108339177912
Fazilka,56,2719656682.578011,0.020958527730775445
Amritsar,29,2612198859.1681647,0.011484577406772651
Faridkot,39,1447696923.428325,0.027630092564730376
Ferozepur,27,,
Sbs Nagar,25,,
Mukatsar,40,,
Pathankot,25,998814095.7472196,0.026030870119578383
Bathinda,79,3362763910.9249816,0.0237899543705983
Fatehgarh Sahib,37,1173238925.8531094,0.032388969682683066
Barnala,19,1482571952.5096693,0.013490070391622063
Patiala,48,3335950775.3095355,0.014688466137649587
Dharwad,26,4260967867.6506634,0.006336588502575773
Bidar,43,5433468309.185437,0.008097958338252699
Tumkur,65,10591931874.228283,0.00623115790242077
Dakshin Kannada,100,,
Haveri,31,4794100975.723647,0.006674869837335821
Shimoga,82,7733717315.695444,0.010732225734648066
Bangalore Rural,56,2303062670.8929424,0.024749652156838612
Udupi,65,3902097923.8341603,0.01691397840040598
Belgaum,100,13334796708.586481,0.007574168711170869
Chikmagalur,81,7188387476.943482,0.01140728713679004
Davanagere,63,6608620376.368818,0.009684320834776945
Hassan,87,6790807455.789462,0.01295869461369813
Bagalkot,29,6552554903.995381,0.0045783668263058245
Mandya,60,4925627989.511598,0.01238420768476437
Kalaburagi,103,,
Gadag,22,4630892500.589849,0.004966645197890132
Uttara Kannada,88,10276181243.09248,0.008660804815974288
Kolar,53,3971618638.205378,0.013596471594866048
Bangalore Urban,40,,
Mysore,66,6297425635.299567,0.010639268151804515
Chamarajanagar,22,,
Koppal,31,5555906129.406701,0.005759636547966152
Raichur,52,8436120039.030345,0.0062825089916681495
Kodagu,68,4095896229.8789396,0.016846129913315553
Bijapur,70,,
Chitradurga,40,8428778218.160638,0.004864287437491408
Bellary,38,8425310447.552654,0.0046289095509030815
Chandrapur,73,11308632387.311432,0.0065436736703042755
Amravati,97,12185933601.358297,0.008042059246825084
Pune,43,15601133551.988512,0.002820307886819659
Aurangabad,40,,
Gadchiroli,57,,
Bhandara,37,4700475541.7574,0.008084288421973722
Buldana,64,9603781537.269665,0.00676816728366349
Nanded,60,10588399114.122068,0.005761021977216787
Gondia,33,,
Thane,36,4238829294.9012594,0.008728825207588806
Latur,44,7233208790.989158,0.006221305274093456
Mumbai Suburban,17,,
Jalna,48,7779045220.401137,0.006298973538744032
Wardha,62,6309123249.1503725,0.009985539592761005
Satara,58,10468568931.630697,0.005635918374834594
Kolhapur,40,7654477886.785739,0.00535634181800696
Jalgaon,35,11748200800.463657,0.0030642990030081215
Palghar,24,,
Nagpur,76,9926300207.80549,0.007757170183050829
Yavatmal,94,13526581952.68279,0.0070232081047761075
Nandurbar,28,5931839693.661554,0.004888871159311308
Nashik,80,15509528929.989851,0.00522259575810682
Solapur,63,14867139970.457829,0.004304795685462908
Beed,49,,
Sindudurg,51,,
Washim,43,5191547205.294477,0.008475315404072148
Sangli,39,8534913392.22233,0.004686632208412458
Dhule,39,7166578026.512969,0.005581464382585218
Ratnagiri,62,8462553833.173818,0.007444561209529384
Raigad,30,,
Hingoli,28,4685513649.191134,0.006189289408004671
Parbhani,34,6328123988.641559,0.00553086508147154
Osmanabad,42,7550117693.027375,0.005695275457720483
Mumbai City,6,,
Sambalpur,82,6744149938.16454,0.012306962443155428
Kandhamal,24,8065155412.573209,0.003099754278885456
Cuttack,67,3944363431.6114454,0.017239790698551076
