      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                8.05  25.720833  75.354167
1          BARASNI  254530074280001               16.90  25.758333  74.466667
2            BIGOD  251440075023001               12.40  25.244444  75.041667
3          BIJOLIA  251012075192201                9.68  25.170000  75.322778
4           BORANI  254100075200001               17.22  25.683333  75.333333
5          DEVARIA  251700074093001               22.82  25.283333  74.158333
6           GAGEDA  255200074330001               16.34  25.866667  74.550000
7        GANGAPUR1  251300074153501               27.88  25.216667  74.259722
8        GULABPURA  255400074410001               17.98  25.900000  74.683333
9       GULABPURA1  253820075065501               21.85  25.638889  75.115278
10       HAMIRGARH  251050074345001               19.29  25.180556  74.580556
11        JAHAJPUR  253715075163001               16.15  25.620833  75.275000
12    KANCHAN-KALA  254520074542001                8.40  25.755556  74.905556
13          Karera  253100074160001               22.15  25.516667  74.266667
14          KOTARI  252350074533001               14.32  25.397222  74.891667
15          PAROLI  253104075053001                8.00  25.517778  75.091667
16       PITAKHERA  252226074063001               15.20  25.373889  74.108333
17      RAILA ROAD  253800074360001               19.75  25.633333  74.600000
18       SALAWATIA  250650075154001               22.70  25.113889  75.261111
19        SAWAIPUR  251825074520001               28.07  25.306944  74.866667
20          SOPURA  253615074540001               10.88  25.604167  74.900000
21  Taswaria Khurd  253340074480001               18.85  25.561111  74.800000
22          TILOLI  253551074184801                9.25  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                2.35  25.720833  75.354167
1     BANERAMATAJI  252915074420001               17.17  25.487500  74.700000
2          BARASNI  254530074280001               15.48  25.758333  74.466667
3            BIGOD  251440075023001                2.32  25.244444  75.041667
4          BIJOLIA  251012075192201                1.09  25.170000  75.322778
5           BORANI  254100075200001               12.99  25.683333  75.333333
6          DEVARIA  251700074093001               13.70  25.283333  74.158333
7           GAGEDA  255200074330001                7.70  25.866667  74.550000
8        GANGAPUR1  251300074153501               16.55  25.216667  74.259722
9        GULABPURA  255400074410001                9.98  25.900000  74.683333
10      GULABPURA1  253820075065501               10.50  25.638889  75.115278
11        JAHAJPUR  253715075163001               11.62  25.620833  75.275000
12      JIWANLIYAN  253056074332801                9.01  25.515556  74.557778
13    KANCHAN-KALA  254520074542001                3.68  25.755556  74.905556
14          Karera  253100074160001               18.94  25.516667  74.266667
15        KODUKOTA  252230074463001                6.81  25.375000  74.775000
16          KOTARI  252350074533001               11.53  25.397222  74.891667
17     MANDAPIA RS  251610074381501                7.97  25.269444  74.637500
18        NANGPURA  252715074111501               21.22  25.454167  74.187500
19          PAROLI  253104075053001                1.20  25.517778  75.091667
20       PITAKHERA  252226074063001                7.07  25.373889  74.108333
21      RAILA ROAD  253800074360001               17.65  25.633333  74.600000
22       SALAWATIA  250650075154001                1.67  25.113889  75.261111
23        SAWAIPUR  251825074520001               17.95  25.306944  74.866667
24          SOPURA  253615074540001                5.86  25.604167  74.900000
25  Taswaria Khurd  253340074480001               10.85  25.561111  74.800000
26          TILOLI  253551074184801                7.00  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                3.19  25.720833  75.354167
1     BANERAMATAJI  252915074420001               16.53  25.487500  74.700000
2          BARASNI  254530074280001               12.48  25.758333  74.466667
3            BIGOD  251440075023001                2.15  25.244444  75.041667
4          BIJOLIA  251012075192201                0.98  25.170000  75.322778
5           BORANI  254100075200001               12.79  25.683333  75.333333
6          DEVARIA  251700074093001               11.70  25.283333  74.158333
7           GAGEDA  255200074330001                6.29  25.866667  74.550000
8        GANGAPUR1  251300074153501               11.06  25.216667  74.259722
9        GULABPURA  255400074410001                9.21  25.900000  74.683333
10      GULABPURA1  253820075065501                9.80  25.638889  75.115278
11       HAMIRGARH  251050074345001               10.64  25.180556  74.580556
12        JAHAJPUR  253715075163001                7.60  25.620833  75.275000
13      JIWANLIYAN  253056074332801                7.90  25.515556  74.557778
14    KANCHAN-KALA  254520074542001                3.50  25.755556  74.905556
15          Karera  253100074160001               17.74  25.516667  74.266667
16        KODUKOTA  252230074463001                5.20  25.375000  74.775000
17          KOTARI  252350074533001                8.97  25.397222  74.891667
18     MANDAPIA RS  251610074381501                7.73  25.269444  74.637500
19        NANGPURA  252715074111501               18.22  25.454167  74.187500
20          PAROLI  253104075053001                1.50  25.517778  75.091667
21       PITAKHERA  252226074063001                5.50  25.373889  74.108333
22       SALAWATIA  250650075154001                1.50  25.113889  75.261111
23        SAWAIPUR  251825074520001               10.95  25.306944  74.866667
24          SOPURA  253615074540001                6.93  25.604167  74.900000
25  Taswaria Khurd  253340074480001               11.21  25.561111  74.800000
26          TILOLI  253551074184801                3.85  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                4.87  25.720833  75.354167
1     BANERAMATAJI  252915074420001               16.81  25.487500  74.700000
2          BARASNI  254530074280001               13.98  25.758333  74.466667
3            BIGOD  251440075023001                6.79  25.244444  75.041667
4          BIJOLIA  251012075192201                4.80  25.170000  75.322778
5           BORANI  254100075200001               14.53  25.683333  75.333333
6          DEVARIA  251700074093001               17.30  25.283333  74.158333
7           GAGEDA  255200074330001               11.31  25.866667  74.550000
8        GANGAPUR1  251300074153501               19.72  25.216667  74.259722
9        GULABPURA  255400074410001               12.39  25.900000  74.683333
10      GULABPURA1  253820075065501               15.67  25.638889  75.115278
11       HAMIRGARH  251050074345001               14.30  25.180556  74.580556
12        JAHAJPUR  253715075163001               12.30  25.620833  75.275000
13      JIWANLIYAN  253056074332801                9.33  25.515556  74.557778
14    KANCHAN-KALA  254520074542001                5.95  25.755556  74.905556
15          Karera  253100074160001               19.86  25.516667  74.266667
16        KODUKOTA  252230074463001                7.29  25.375000  74.775000
17          KOTARI  252350074533001               11.76  25.397222  74.891667
18     MANDAPIA RS  251610074381501                9.94  25.269444  74.637500
19        NANGPURA  252715074111501               20.17  25.454167  74.187500
20          PAROLI  253104075053001                4.13  25.517778  75.091667
21       PITAKHERA  252226074063001               10.48  25.373889  74.108333
22      RAILA ROAD  253800074360001               17.82  25.633333  74.600000
23       SALAWATIA  250650075154001               12.32  25.113889  75.261111
24        SAWAIPUR  251825074520001               18.41  25.306944  74.866667
25          SOPURA  253615074540001                8.32  25.604167  74.900000
26  Taswaria Khurd  253340074480001               15.15  25.561111  74.800000
