station_id,station_name,latitude,longitude,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
254430084574501,Ammi,25.74166667,84.9625,6.6,8.2,1.4,3.8,5.85,8,6.9,6.48,7.34,8.96,6.2,6.08,6.18,8.7,3.06,3.68,5.33,8.74,,4.82,7.3,8.65,4.25,3.31,4.87,8.16,3.95,4.26,,,,,,8.81,5.31,2.53,5.6,8.18,4.48,6.27,7.38,8.64,5.09,,7.07,7.53,7.55,3.34,3.71,,1.77,2.66,3.75,,1.73,5.04,2.6,3.64,4.3,2.4,,6.3,,
254645084423001,Chhapra,25.77916667,84.70833333,3.75,4.96,0.81,2.75,3.05,5.48,4.8,3.77,3.84,12.25,4.1,,,8.1,1.09,2.13,2.74,9.36,,1.65,4,4.05,,2.41,3.51,3.7,3.71,2.08,,,,,,5.8,4.89,4.1,5.6,4.6,2.33,3.3,,,,,,11.91,,1.17,2.55,,0.82,2.58,2.34,,1.53,1.85,,1.21,2.5,,,4.5,,
255845084410001,Jalalpur,25.97916667,84.68333333,2.7,,,,,,2.6,3.77,,,3.1,,3.73,3.63,4.23,2.78,3.12,7.45,,,5.4,4.83,4.75,3.58,4.31,,2.9,2.91,,,,,,7.8,3.1,2.6,,3.9,3.08,5.2,,7.8,5.03,,7.8,7.45,,,,,,,,,,,,,3.3,3.95,,0,,
255000084344501,Manjhi,25.83333333,84.57916667,5.1,6.9,2.2,3.95,4.6,6.65,6.4,7.58,6.85,14.1,7.5,8.38,7.65,8,5.84,7.47,6.09,7.7,,7.33,7.8,7.4,,4.13,5.8,7.05,1.95,7.22,,,,,,7.97,,7.07,5.75,7.4,5.49,5.3,6.87,7.71,6.87,,7.42,8.03,5.65,4,4.81,,,2.55,2.88,,1.55,,2.28,2.38,4.2,3.85,,4.9,,
254933084434001,Nagra,25.82583333,84.72777778,3.9,5.08,,3.36,4.35,5.77,5.5,4.88,8.96,8.96,6.4,5.5,5.43,8.96,4.64,4.32,4.48,5.08,,,3.5,5.74,4.98,3.38,3.95,4.85,2.14,3.52,,,,,,6.77,4.98,4.7,6.1,3.93,4.87,5.45,6.14,8.96,6.47,,8.96,8.64,7.43,5,5.71,,1.46,3.56,3.92,,0.7,3.02,1.7,,3.9,4.6,,0,,
254545085051501,Nayagaon,25.7625,85.0875,6.4,6.85,0.65,3.9,6.05,7.15,4.5,4.33,6.36,7.87,3.75,4.5,6.15,7.4,2.18,3.53,5.1,8.49,,4.03,6.4,7.27,2.57,2.8,4.85,6.99,3.95,3.82,,,,,,7.55,5.46,2.45,5.32,7.04,4.41,4.45,6.29,7.35,4.14,,6.29,7.71,3.84,1.56,1.61,,1.37,3.58,4.62,,0.23,1.75,3.4,1.52,3.6,2.2,,6.76,,
254201085104601,Sonepur1,25.70027778,85.17944444,0.72,1.62,0.24,1.05,0.6,0.68,0.2,0.53,0.8,2.01,0.5,0.51,0.66,1.6,0.66,0.4,0.34,2.22,,0.43,,,0.8,0.32,0.46,1.07,0.72,0.5,,,,,,,0.5,0.48,,1.7,,,,,0.2,,0.87,2.3,1.34,0.36,1.36,,,0.64,0.5,,0.4,,1.56,0.35,0.37,0.45,,1.3,,
254930084533001,Garkha,25.825,84.89166667,,5.05,2.05,4.05,5.05,5.86,5.3,,8.75,7.34,5.05,3.81,3.7,7.7,4.35,3.18,5.38,7.4,,5.3,,7.43,3.95,5.1,5.52,6.75,2.68,7.26,,,,,,6.42,5.34,3.9,5.1,5.36,5.45,5,7.04,7.92,6.69,,7.52,8.15,7.14,4.89,5.5,,1.76,3.71,4.88,,,4.57,4.9,4.78,4.7,4.6,,3.1,,
255845084521501,Marhaura,25.97916667,84.87083333,,4.7,1.3,3.3,3.3,5.7,4.4,3.3,4.53,5.35,3.9,3.43,3.5,5.3,2.42,2.65,2.73,5.1,,3.63,6.32,,3.4,2.52,3.01,4.5,2.7,2.3,,,,,,6.6,5.88,5.1,4.96,6.05,3.07,3.2,3.66,3.07,4.37,,5.54,10.77,6.25,2.36,2.81,,0.3,1.52,2.04,,,1.25,2.25,2.34,1.4,2.9,,5.3,,
260530084473001,Masrakh,26.09166667,84.79166667,,3.47,1.37,,2.75,3.77,3.27,2.6,7.12,7.12,4.72,2.92,2.67,7.12,4.3,1.45,1.5,3.86,,2.33,4,,,2.68,,4.24,2.26,1.95,,,,,,3.77,3.99,2.9,3.25,4,2.67,2.7,3.02,3.94,3.84,,4.19,7.12,4.24,0.88,2.18,,0.31,1.98,1.28,,,0.99,,0.92,2.4,3.15,,3.85,,
255815084324501,Ekma,25.97083333,84.54583333,,,1.23,2.05,2.7,5.1,3.7,3.16,3.68,5.2,3.15,3.48,3.73,4.92,2.08,2.47,2.49,4.61,,2.67,3.6,4.2,3,1.92,2.25,3.52,1.97,2.11,,,,,,5.09,3.97,2.59,2.96,3.94,1.9,3.05,3.73,5.19,4.16,,4.92,5.68,3.67,1.77,2.27,,1.23,1.88,2.21,,0.8,1.06,1.85,,3.25,2.75,,4.95,,
254904084413401,Baleshara,25.81777778,84.69277778,,,,,,,,3.9,,,,4.05,3.63,,3.31,,2.9,4.8,,3.19,,5.12,,3.39,4.11,4.45,1.95,1.55,,,,,,5.2,4.1,3.25,6.1,3.98,2.6,2.91,4.78,6.24,5.13,,6.22,7.17,2.86,0.77,2.02,,,2.9,2.31,,,,2.5,,3.4,2.85,,4.85,,
255017084344001,Majhanpura,25.83805556,84.57777778,,,,,,,,,,,,,,,,,,,,,,9.31,,5.38,6.51,8.65,1.95,,,,,,8.13,9.82,,6.4,6.61,4,6.72,3.95,7.94,9.4,8.07,,8.48,10.15,8.38,5.29,6.52,,,4.6,5.66,,,,5.35,2.29,5.75,5.25,,0,,
