station_id,station_name,latitude,longitude,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4
245154077112401,Akoda,24.865,77.19,3.04,3.55,2.3,3.0,2.29,3.35,1.1,2.6,3.19,2.95,,4.19,5.8,2.84,3.3,2.06,2.25,2.55,1.88,3.86,2.22,2.75,1.58,2.01,1.95,2.64,0.7,1.99,1.95,2.62,1.93,1.8,,3.3,1.6,3.0,,2.8,2.3,3.01,1.9,,,2.2,4.6,,1.75,2.3
241242077114801,Amlia,24.21166667,77.19666667,14.85,15.85,2.55,4.95,15.01,16.95,,5.1,10.77,16.25,,10.82,10.19,9.87,2.25,4.33,12.48,14.45,4.28,7.15,12.15,15.85,2.45,7.95,12.15,,1.1,4.72,12.2,14.08,12.74,15.1,16.95,15.1,0.8,14.6,10.9,15.6,9.14,3.6,11.9,,8.12,12.18,13.3,,2.3,12.0
242618077224201,Aron,24.43833333,77.37833333,4.68,6.4,3.4,5.2,5.09,6.9,0.59,1.18,3.51,6.25,,3.5,7.97,6.76,,0.97,3.62,6.0,0.01,6.0,5.33,6.7,,3.08,4.8,,0.01,3.8,4.89,6.18,3.21,3.7,5.29,6.5,4.42,4.5,4.9,6.9,0.45,0.26,4.2,,,2.38,4.8,,,2.3
242306077245201,Aron (D),24.385,77.41444444,13.03,19.3,,,13.61,19.55,3.77,8.16,11.31,20.32,,11.99,15.59,20.23,3.73,7.99,11.33,15.93,8.33,12.66,14.63,18.86,9.13,12.92,15.48,,4.6,9.53,13.42,19.91,14.19,14.63,18.08,40.15,17.43,18.83,19.64,39.13,6.43,5.53,10.43,,6.48,10.73,15.83,,4.53,8.33
243740077110301,Berkheri,24.62777778,77.18416667,6.35,8.75,6.05,7.4,4.29,6.35,0.05,2.19,6.0,4.94,,2.85,4.89,3.7,1.65,2.01,2.17,4.65,0.85,2.77,3.41,4.6,0.29,2.62,3.15,,0.45,3.1,2.81,4.28,1.51,2.03,3.45,4.95,2.05,2.65,3.14,4.25,0.05,3.75,2.25,,1.17,2.33,2.6,,0.85,3.45
243152077200801,Jaitadongar,24.53111111,77.33555556,7.45,9.0,3.17,5.3,6.13,8.8,0.4,4.42,6.28,7.85,,5.27,5.34,7.24,2.2,5.3,6.0,8.35,2.7,6.05,7.15,8.7,2.3,5.67,7.4,,1.47,7.72,8.53,8.92,7.13,5.49,6.76,9.3,0.2,4.8,7.09,7.5,0.52,4.2,8.6,,1.11,6.97,8.8,,0.5,4.0
241947077061201,Khatkiya,24.32972222,77.10333333,6.7,11.55,6.5,6.2,7.14,12.0,1.2,7.62,6.55,12.5,,5.2,7.95,11.87,2.05,5.77,6.85,8.1,3.37,5.66,7.1,7.88,3.32,5.59,7.36,,2.13,5.13,7.02,10.1,5.08,7.74,6.88,11.95,3.4,7.2,6.91,11.75,1.59,4.24,6.06,,3.75,5.8,7.32,,2.4,5.1
243914077260801,Pagara,24.65388889,77.43555556,14.0,,,14.0,,14.0,9.9,8.22,13.0,14.0,,11.37,14.0,14.0,0.8,6.39,11.09,14.0,10.1,11.6,14.0,13.1,7.78,10.1,13.3,,4.88,6.85,13.71,13.7,7.93,12.76,12.77,13.42,14.0,11.5,,12.6,5.3,3.3,7.98,,5.21,11.28,14.0,,3.2,3.8
240808077003601,Penchi,24.13555556,77.01,9.23,13.95,6.2,9.4,11.24,15.2,0.45,10.4,13.95,14.0,,7.56,13.65,13.53,0.8,5.76,5.1,10.2,0.98,6.71,6.95,10.3,0.8,8.97,7.45,,0.62,,10.85,12.75,2.5,6.9,,,9.48,14.4,,13.7,6.3,13.3,2.9,,3.58,6.6,13.44,,2.3,12.5
241834077093201,Pipaliya,24.30944444,77.15888889,15.0,,3.3,4.1,15.0,15.0,,5.66,9.57,15.0,,5.73,7.78,15.0,1.7,6.48,13.2,11.8,3.51,7.24,10.2,11.8,4.4,9.6,10.85,,1.6,5.32,8.62,13.83,12.23,11.8,11.82,11.9,9.4,11.0,12.39,11.0,2.19,4.46,7.36,,3.2,7.22,11.8,,3.1,6.4
