station_id,station_name,latitude,longitude,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4
245315076394001,ATRU1,24.8875,76.66111111,5.54,6.64,2.97,3.92,5.11,5.89,,4.47,4.98,5.17,,4.51,5.28,9.04,0.09,3.89,,5.8,0.75,0.27,,4.84,0.59,3.64,,5.4,0.14,5.09,4.49,3.79,1.89,1.97,5.06,5.08,,,,,,,,,,,,,,
245930076283001,BAMLA,24.99166667,76.475,6.08,6.35,4.58,5.77,5.8,6.4,1.1,4.7,4.68,5.12,,,4.61,5.35,3.6,4.0,7.3,8.0,2.9,2.35,,5.96,4.2,4.8,,6.21,0.2,4.8,6.03,5.5,5.09,5.08,5.36,5.39,4.5,,4.6,4.62,1.55,,3.3,,2.35,4.42,4.4,,1.04,4.2
250600076310001,Baran2,25.1,76.51666667,9.64,,,10.13,11.4,10.8,1.3,5.18,5.72,,,5.05,5.94,,,,,,,2.38,2.26,5.2,1.1,2.15,,10.0,1.6,,4.7,10.4,,,,,,,,,,,,,,,,,,
250529076473701,BHANWARGARH,25.09138889,76.79361111,3.01,5.69,3.04,2.7,1.69,,,1.81,1.34,2.99,,4.22,0.86,2.84,0.24,1.44,0.74,2.73,0.54,1.86,1.04,2.64,0.69,3.66,,2.89,0.19,1.04,2.57,2.74,4.41,4.47,1.66,1.59,0.46,,0.64,2.64,1.44,0.94,1.19,,0.94,1.36,1.54,,0.21,1.22
243728076420701,CHHIPA BAROD1,24.62444444,76.70194444,11.56,,9.36,9.92,9.83,,1.73,6.59,9.66,9.76,,13.33,9.78,10.23,0.22,5.68,9.78,,3.18,8.43,7.82,3.38,3.38,8.83,,9.49,1.38,9.48,10.08,9.38,7.41,7.51,10.13,10.18,,,,,,,,,,,,,,
242610076420001,HARNAUDA,24.43611111,76.7,6.71,6.99,3.74,3.58,7.92,,1.12,3.42,7.87,8.87,,7.53,9.27,9.55,1.82,6.52,7.78,9.07,2.92,5.87,8.16,9.02,2.52,6.82,,9.37,3.52,4.52,5.86,9.02,3.13,3.2,8.12,8.21,3.52,,7.93,8.82,4.62,4.22,5.32,,3.37,6.47,7.92,,2.02,6.27
244530076443001,KANWAI,24.75833333,76.74166667,9.48,7.04,4.33,5.16,,7.69,1.14,5.91,7.14,8.59,,6.77,7.04,7.59,1.39,5.24,6.89,6.69,,8.59,,,,,,,1.79,6.69,,5.99,,4.89,6.39,6.41,,,,,,,,,,,,,,
251230077213001,Kasba Thana,25.20833333,77.35833333,6.66,7.55,4.88,4.76,5.5,8.23,1.6,5.38,4.89,6.0,,3.56,4.69,5.2,3.45,4.7,4.2,5.35,4.44,5.82,6.16,7.65,4.34,4.75,,7.64,0.8,2.45,5.11,4.5,4.52,4.6,5.37,5.47,1.85,,4.78,6.1,1.7,4.5,5.85,,3.6,5.37,4.8,,2.3,4.7
250800076540001,KELWARA1,25.13333333,76.9,3.58,3.18,2.53,3.12,2.95,3.2,,1.75,3.16,3.03,,1.76,3.16,3.3,0.1,0.85,2.98,3.05,0.71,2.36,2.85,3.2,1.2,3.05,,3.11,1.0,3.1,3.31,3.4,2.02,2.2,3.1,3.13,0.1,,3.4,3.9,1.85,0.9,3.3,,0.95,3.05,3.0,,,2.2
251930076304501,MANGROL,25.325,76.5125,5.13,7.52,5.53,5.81,5.11,7.23,2.13,3.79,3.61,5.21,,4.23,4.05,5.78,0.98,3.23,3.43,5.53,3.13,3.63,3.78,5.09,3.48,4.13,,5.54,3.53,3.98,3.54,5.73,6.87,6.93,4.37,4.5,1.95,,3.94,6.28,1.23,3.13,3.88,,3.43,4.56,4.43,,2.53,4.23
