station_id,station_name,latitude,longitude,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4
243800072390001,Anadara,24.63333333,72.65,22.95,21.65,16.2,17.14,17.15,20.0,8.7,9.0,13.4,17.6,,12.7,16.5,18.0,15.8,,,,,,,,,,,17.9,15.9,15.35,17.47,18.05,5.2,7.4,8.95,14.9,14.5,,17.5,19.8,17.9,16.91,17.2,,,15.2,16.5,,10.9,9.5
245943072430001,BARLOT,24.99527778,72.71666667,23.56,26.47,25.66,23.97,25.97,27.61,24.83,20.97,22.87,,,,,,21.07,21.42,,21.07,14.04,19.04,,26.44,18.07,,,27.22,20.27,24.12,24.8,27.97,16.37,19.47,32.02,23.87,24.67,,26.52,28.67,21.32,30.25,,,26.37,24.87,,,,
244030072403001,GULABGANJ,24.675,72.675,15.85,17.53,8.99,10.82,12.04,14.09,10.09,6.39,6.69,9.39,,5.69,7.19,6.69,10.39,7.09,10.14,13.54,11.08,7.96,11.99,13.38,6.09,6.29,,12.29,6.49,5.64,6.84,11.89,,2.89,3.94,7.89,,,,16.49,10.49,,,,,,4.69,,12.09,
243805072293001,JIRAWAL,24.63472222,72.49166667,23.63,25.71,26.16,17.96,21.56,24.36,9.06,9.29,11.66,20.56,,,,,10.36,12.86,16.26,24.11,13.62,11.73,15.36,16.43,5.46,9.56,,16.38,6.36,14.46,28.26,13.26,4.46,6.56,7.86,10.96,,,,,,,,,,,,,,
245530072411501,KALANDRI,24.925,72.6875,12.92,10.58,5.28,4.63,6.58,13.43,3.03,14.58,5.38,9.78,,4.98,12.18,11.98,12.98,7.18,12.33,14.68,14.86,14.08,10.98,17.27,3.78,5.78,,17.38,3.78,12.84,16.15,14.63,2.68,15.38,13.68,12.78,8.03,,11.83,16.08,7.78,8.2,11.08,,9.88,8.08,15.18,,17.48,12.58
242900072410001,Mungthalla,24.48333333,72.68333333,13.15,16.0,14.75,13.68,13.85,14.45,13.15,10.85,9.61,8.15,,1.95,5.25,8.5,8.15,22.1,6.4,,6.2,6.1,7.35,9.2,5.75,5.85,,13.55,7.75,7.65,7.93,10.35,3.15,4.55,5.05,7.75,7.25,,7.45,,7.85,7.08,8.63,,8.25,5.55,6.05,,8.1,8.1
243800072320001,Reodar,24.63333333,72.53333333,20.25,21.4,16.6,80.54,16.5,18.4,,13.5,,18.6,,16.4,16.3,20.4,,17.5,18.9,,,21.6,20.05,19.1,14.4,16.05,,18.4,15.5,17.0,17.65,30.4,7.3,9.3,12.9,17.4,16.0,,16.05,20.1,14.65,14.8,16.88,,16.0,13.45,16.5,,18.1,16.65
245045072591501,VIRWARA,24.84583333,72.9875,14.98,17.35,1.35,1.65,2.4,5.0,0.85,1.8,4.25,8.15,,1.45,2.65,8.15,4.82,4.9,4.82,,,,,14.9,1.35,,,14.95,1.55,1.23,1.83,7.75,0.85,1.15,2.35,10.05,,,,,,,,,,,,,,
243750072420501,MOUNT ABU,24.63055556,72.70138889,,7.29,5.24,4.39,4.44,6.35,4.04,2.99,,6.39,,4.24,5.09,5.94,1.4,1.74,,,4.43,3.39,3.94,6.59,0.64,4.39,,7.44,,,,,,,,,,,,,,,,,,,,,,
244800072404501,PALRI,24.8,72.67916667,,21.39,40.27,,40.02,17.07,14.67,3.72,6.47,,,,11.67,,7.07,4.47,,17.07,4.35,6.35,13.07,16.07,2.57,6.77,,17.77,5.37,6.34,11.62,,2.67,5.07,6.87,16.37,,,,,,,,,,,,,,
243930072561001,SARUPGANJ,24.65833333,72.93611111,,19.38,10.78,9.2,9.55,18.68,2.83,1.83,2.88,15.18,,3.72,4.88,5.88,1.8,,12.08,18.68,12.06,18.06,,19.16,1.08,17.38,,18.08,1.98,8.3,9.48,19.18,0.78,3.08,,16.58,15.08,,19.08,22.48,5.48,,,,4.98,,11.18,,21.43,12.53
245300072520001,SIROHI,24.88333333,72.86666667,,18.31,10.41,10.35,10.56,13.61,8.91,0.77,2.91,6.71,,0.51,2.41,8.26,7.57,8.11,10.06,13.71,15.12,13.72,17.11,18.12,2.41,2.31,,8.71,2.31,1.49,3.11,5.81,1.41,2.01,3.01,7.91,7.91,,11.61,16.41,14.41,6.31,8.51,,16.11,8.41,10.51,,16.01,15.71
242700072450001,Manpur2,24.45,72.75,,,12.97,12.67,,,9.62,8.02,8.3,,,,,12.07,6.07,8.27,10.47,,7.49,7.87,10.07,12.54,2.17,6.77,,21.97,3.57,6.16,7.76,20.52,2.27,6.07,21.87,22.87,,,,,,,,,,,,,,
244800073040001,Pindwara,24.8,73.06666667,,,2.3,3.69,3.25,6.2,,0.55,1.9,,,,4.9,6.04,8.58,9.8,6.71,,,,,,,,,12.2,0.8,,,,,,,,,,,,,,,,,,,,,
250800072580001,Posaliya,25.13333333,72.96666667,,,10.8,21.2,23.1,34.1,4.6,1.95,7.3,20.4,,9.8,9.4,28.25,20.7,28.25,24.7,,33.5,32.6,32.37,33.6,7.1,17.5,,33.8,,6.48,12.67,25.6,2.7,5.5,8.2,21.1,,,,,,,,,,,,,,
245720072533001,AMBESHWARJI,24.95555556,72.89166667,,,,4.81,2.13,4.13,1.63,5.04,4.13,2.83,,2.03,1.43,3.93,1.94,1.93,2.9,4.94,0.98,1.8,3.53,5.38,1.83,2.03,,4.78,1.83,1.65,2.05,2.53,3.73,2.33,2.23,4.38,2.43,,3.63,5.83,1.53,2.33,3.16,,1.93,2.23,2.78,,4.33,3.13
244610072441001,Mera Kishanganj Pz,24.76944444,72.73611111,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,9.45,,20.1,0.8,0.95,9.7,19.7,5.6,,5.7,,,,,,10.35,,,,27.1,
